Business id,Stars,Service,Cleanliness,Authenticity,Value for money
fZM_o3kKZ9mR-1pvBeow8A,3,28,84,86,64
_nB8HNT2IDRhlAoY9TPYew,4,76,89,82,82
bh0dRmSXjNWZLRys2VmW6A,4,80,86,84,89
dDZqtA1me453GrMtpcpYOQ,5,84,91,82,79
tVVZcFFt3ZlWVE7nptN3EQ,3,22,73,87,39
ofAbFXOMz2-Di7p2oDsfhQ,3,55,44,29,26
hRL_qCrcu9UL773su0QabQ,5,83,90,81,79
_9SDJqTh8z0t3WZmVvbnYA,3,93,95,44,15
HgJGwePlWjhzOEL028pSig,1,22,33,32,30
momjERcb6G6ienrfPuNArw,5,79,87,85,92
PRbIMseOwPCCRv5C4SfTDQ,5,82,90,87,81
D3ehpx1uKG5aLuaJgztYDg,4,91,95,84,87
dSEpkUP_RuR5gG_LhJ_INA,3,85,19,72,75
5FIOXmUE3qMviX9GafGH-Q,3,16,29,60,50
fCaJNz9ff4x0x46fPA8nXg,2,40,45,61,19
jGKcrKCPZ7wtFticJ6KZHg,5,85,92,82,82
V-dxglt0zIcBZzZ-4gfgAw,2,47,46,64,68
AqYLbchnIxVSBdUJuLVdrA,5,95,92,88,90
Jzth-y32SyvOhJNgbIPTqQ,4,84,88,86,95
afrS2T04mfdWHYxuK-2knA,1,51,28,55,23
y78qakVvpdRgIzManeISAw,5,88,89,81,81
mZsvMd5RCat1d3KMSD5tsg,5,91,86,85,83
Q3G58vv1ClvH4re9QBsVgQ,4,89,90,80,81
W2CzAePJakvARgoQuohbOA,2,36,40,50,72
giLPHHPabZycyoNHoP35Sw,5,90,88,90,92
OzkK-4IqoBqqIZIdhVJXQA,5,75,89,80,95
1wiv2BvvauMj8hS16UuEYw,5,76,86,87,83
mKRKhFuJX4nhJykUvZO8hQ,4,94,91,84,88
jlbP9Yd0AQP8OlcsFkZ4hQ,5,92,94,89,95
I9VW1y9hmHKAtaO0edSyzA,4,87,91,94,84
4z2evNWOBm7b4-7Td0392A,4,95,94,80,78
O0VtL9uyf0CY1Yq-kZT8fA,4,76,86,94,94
WCE7YEBV_jOk-KaIEndrGg,4,94,94,93,92
ZhjU0FkCIaG43F83TwSN8w,5,89,86,87,77
Md_TTNUkO7U47b3cass4gw,1,16,20,28,28
mbnU0WTmBcYDvUu0ch6O8A,5,78,87,86,83
oYfzCy8kUkALFa28og_OsQ,3,50,92,41,50
IvbVnHO2Y5w4b61rJ5xHaQ,1,20,20,41,25
kzQ7vylNAQn3w2JGBEluPg,5,92,85,80,95
r0rtl4OsZy-F099jeO_DKA,3,35,82,47,94
iUaxM9t-ZcdTjI2Zx_3vEQ,4,83,91,89,80
jiOREht1_iH8BPDBe9kerw,5,87,91,86,93
BaPKO2rV_uaOtRliKtaFcQ,4,90,85,81,95
oVAySgyWYzzmvJpTJ8PO5Q,5,75,94,91,91
tamr4J75GguGhF1hm1wEaA,4,80,90,91,93
2ZUEOFbbwTjrvkTEVXAdPw,4,90,89,80,91
AfN3Z1U6QPEgAb5F2CQm8w,4,80,86,93,77
9XSF1vFyteVhj9sbD2DEAg,5,80,85,88,89
RzLlGTOFQZyoFgEpk0Ik0Q,4,84,90,85,94
-mklrNaGHec-ZnTAsBtilA,1,28,18,55,18
-jCh1266UulWxTtUpUiDFw,5,79,95,92,85
uIE9H0cz2AvxorEqy5cZ0w,1,25,34,34,26
63dCBZQILHR-QogyKXnvXw,4,89,87,84,86
dEq4Yj50tWOSzxqXloahsw,4,92,90,92,94
Zz7XBdd0Eu9JZgamvIBFzQ,5,90,94,88,93
U6P56MjLrraN0JBNvOjxaA,4,86,95,89,82
MbAsfN3wwV22K7GZsgcBqA,5,81,94,87,90
d3C5QTYpZCdp2pV1Cq5G_g,4,85,86,90,83
vzJ1z1dPKFsM9zoTv6tL3g,1,25,39,25,46
mKf7pIkOYpEhJTqjw4_Fxg,4,75,94,94,82
nhOCUUgFa1izAiWVKAxhCQ,5,76,87,94,95
2UZ4nBPHew9nKWcQyeG0TQ,5,87,86,87,77
TT4XW2WMG0PNyUIFBIINuA,3,60,85,75,79
EVbEdWYLE9GDpVG97MGw-w,3,69,17,25,64
dimv16yFu0JXR1n1SAqedQ,2,19,43,41,37
wl0QZqAzr1DelslQ02JGCQ,3,89,42,72,76
wXsccicHhEvNssIJhdmS2Q,5,89,91,87,79
Oh66jkE6zCIIBDSEBwz0Cw,5,89,92,80,86
L2iT7pipc455Tgpbo35_mw,1,34,26,28,30
WF0bsux--lnBfV95xmGTpw,5,82,88,81,89
6t7mlTVjDA9fhuFAZmVzAQ,5,80,94,80,83
DS0E9qEyVTyV_BGWoPgjGQ,5,88,91,80,91
mtBAaQ2xarcjZtPbLhar4g,5,82,92,95,86
mbV5FSZjiUViAdwcYRY0Rw,4,77,93,94,91
iBihgoxc6Ot7m2D4D3z0QA,4,77,90,88,90
i631pRlq0u29VvaMshW67A,2,33,38,17,44
JhEtJbGjAqKDHCZ11i3qoQ,5,76,95,91,88
gDOuHjntsN37XEjROoQ2Aw,5,87,85,92,92
2q2gGuigGrCFmx3juLAVww,4,95,93,86,94
NUhHkT1wfXsTLxt_tWwVXw,4,92,86,85,78
3JnO3AEqRD8DbXkWP-gTFw,4,77,95,91,92
366FaRQ1MWEHBhaEKTcriQ,5,75,93,80,93
tIauOelAC3BZk_xhMoDBUg,4,91,91,88,93
OMxgLbrSCEU12265nz9JVA,5,84,86,94,80
hIgGkG1JnHX4xmVuOgegDw,4,90,92,81,81
ZvtELJTUOh0yRrPxyyiakQ,5,81,92,89,85
AbnpKkW0mpv34jtRps4C0A,5,80,87,87,91
ZO2-nQjKZBoZUSOzJb4CUQ,5,87,94,84,88
RMtnJYAAiXmUFrMngttEoQ,4,93,87,87,86
5J1SoLkAM2zAOKqrRB7rCQ,5,90,95,89,92
AgE33nKGtNLQkCKQBW44Tw,5,92,87,92,82
CO8MpD1bSkBPArXKBKkIfA,3,28,45,80,79
1zsM7weLS8fNHomDAqCh4Q,4,78,88,85,86
aiX_WP7NKPTdF9CfI-M-wg,4,75,85,83,86
3vta1BSPwdSulcCFMpBjDw,3,83,88,34,46
CMCAZVvZlP0ztWo6fhwnGg,2,73,75,66,60
neO0lOx9YE3r7SvVkmpS8w,4,94,93,84,90
NlxSKTGm2khkYloVMoKlRw,5,76,89,87,80
7_08jLr277WpzXkcERXhjA,3,33,80,80,66
ydt5yifyYhF5s430llv_Hw,2,62,36,71,60
46QWVor8H5eUDNYnx-fMnw,5,88,87,81,89
pD6Eg5iI8zgS1YZZYk0TVA,5,89,86,89,83
gONNfEoNaRLNtgaAcxwsLQ,5,94,95,91,82
fKRKE4XQzOCgddSSQAESTQ,5,93,93,89,91
aVkVDJ01OgvNwhlCUz_bng,2,31,29,39,15
SurnOSM2bVVN4-Js3G23RQ,5,88,95,88,90
gVVmLRUrAf-mqgndol3rUw,5,90,86,80,91
jJDKPJLzkoPeytWIzstJrA,3,29,41,21,67
v9RoRhf64X5E06gdqeudFQ,5,75,93,80,81
_XptUzewghAxa0_4R7br-Q,1,45,37,36,45
BTf8sELl1TjovRc0f-tgJg,3,15,16,29,21
qOd7QUh-sIB7zN7RbP1-qw,5,85,93,93,95
Gw-ozqLSHoP3BQPKaiXJGg,5,87,89,84,92
8RZf-eJI5J05Qu60TD_6fA,5,87,94,84,94
gWqwzJTx8g588U3f7BkZnw,5,82,88,91,93
4c-O3t8I-JxfUGJDUwvj6Q,5,93,94,81,78
UBQRhqRMW4Sk7kSZvZ1iAQ,4,81,90,81,78
HkbNItNrnXlNo59M0YyoMg,4,88,86,86,91
FzwAT5zi8hy5kJ79HaKJPQ,1,15,33,15,26
DVaTciFGcCXLHTufHZM4_A,4,80,86,85,87
7ef7jYhmfbxSI7s57HoJAg,4,84,89,92,95
UhCSu92r2XVPmhQET1c2Bw,5,79,86,88,88
T3y7m50JXsf8HI66L4f72w,4,87,90,93,84
tduDcM1hWHPeyQ9SRPTQmQ,1,19,49,17,30
jN00dj1opLMyFczkCTptqQ,2,45,39,53,34
1uCoWygbmehTJP8Su_3QVA,1,32,37,28,45
rIHt5dCEPotEn-gy6IUT_A,4,79,93,92,95
cbLEGyROMNKbOZpEah3seQ,3,40,87,46,44
XWiL_1CtBWmd1unCiWj_XQ,5,82,94,92,89
E6Cb9EwRyXQrIpJqoT4nSg,3,48,38,29,22
4yIOZXIYJiQlkqW_MUtVgQ,5,90,90,91,88
Z96TEJDXyUhCerS-9QllXw,3,29,84,88,44
AZQKMMvX9m1-uTdLPMzK3g,5,90,93,90,81
fE9SP84G6TZrv36FLbCy7w,3,84,92,80,48
RN0PTeMSF_eaeXN6VV7RwA,1,21,42,48,42
Rj3wnYT1QAxpJlRT5mMc-g,5,86,91,95,79
Dqzkdf0sz8lm9AFjfsDmIw,4,86,95,83,83
uKKNw68mZZaa1jcyszEbyA,2,18,44,69,57
gp9ZESRRNLqWfgJtEzPThA,3,62,63,76,70
futvxFkM42RYxXr8ROogBQ,5,85,95,93,78
OJBn0HFMvVB9TDcr4OLttw,5,84,94,91,80
l8X3I6h4EdDR-Fv_KV8joA,5,84,87,86,81
pHpU8lnnxMuPWRHOysuMIQ,5,84,88,85,84
ZpdSgmF55vELLYl4b26tKw,4,79,93,86,80
3KFWuiz8lla9SospgQn6Yg,3,36,44,52,24
AtSEe-B2mFmLFHBf4PLTrw,3,87,53,36,91
GB6bZTCMmqZncRSxurNblA,4,82,92,91,77
NxjUiGBNgyDErKXnmQ3s3w,4,93,95,94,86
8XFDd4uX-g5B4JJzIahPHg,5,89,94,86,91
Crhm6oKCj7raPlakwltbVQ,4,89,92,94,89
qMJyOW1FdPOf8sli8DIq_A,5,95,95,81,79
lx_HJMFpKEZW-e9_-LyuQg,4,87,95,83,95
4fbH3Yr1D5r5-QD-HReDlg,4,88,90,95,93
bJnikvRTWIoGp23TfQ0BTw,5,80,87,86,92
0x2qB4R790SX3W4W8FQuWA,5,92,88,86,93
ROMFVEFKEYi7qhyITX6jfA,5,78,93,81,91
_uMRu3765QYo0Qg1z1LKqw,5,86,90,83,85
HJLiVxuvtN0n73BASSZKoQ,4,92,89,81,80
rX9k0BJ0OM1zGKXKjfXZQA,4,79,85,88,95
IWOQNyRqWrnqQA5K49eK5g,3,31,47,18,17
Pd9cq5LkReRCNsgyh19wJQ,4,91,94,86,94
QjZNLqhYjGSSH3yyjB8fmA,5,85,86,86,83
8B1TIuaqhaZ7QMEhDUu-Gg,1,23,29,48,25
yvwK4MO2qnSZE5ggYGyk1A,5,93,85,88,84
WjVTG8dxmNpbvfKO0gH14Q,1,33,41,16,53
KXGkJy-s9W1re2sXqSqoiA,2,67,75,72,74
CmgNyXaBPsn6hLLtWPL_qg,2,28,59,39,53
x60RbvQEFlvImnqzuBVk3Q,2,50,32,54,32
NRLsHNbEPpQfaAYS5OLGxg,5,91,92,93,93
izSn0Go-ObiSgc90B6hEfg,2,54,62,51,57
VDMRlQXba3OiCSCpKKTIrg,4,77,95,93,93
wopyolJM2hOAt3dPRmahNA,2,55,60,64,71
kj1p6NwUGROOoqNySf0I1Q,5,85,89,93,85
6i_ai8qjYjhxDV988ZRWFQ,5,77,89,89,86
TjnyNxBUdI68LIXggWOmvw,5,89,87,91,80
zDyv4CoaYvAgQhgr1IK1sg,5,91,85,90,85
SkZ7f-zFsKrthhhppDn6Tg,2,21,30,29,30
R9XSSEzwkmwwwqB76K7s2A,1,18,34,51,48
XZ5eG2IEqu_MuZyTZTcpSg,5,79,85,94,86
L9qDnDHSnINNjePwrJz-uQ,3,77,87,74,28
gMN6VKmu4E1EmlMYzz9A3w,5,80,87,94,87
bKoLvj4R8OUE2tFiqDvv_w,5,85,89,81,86
jcsan4Rl4RARDIuv7tXz5Q,5,77,93,80,83
iPxaFtUXxOlJ-0hMHCM7wg,5,93,95,90,81
oGlIOWdOcAkq4_8IShjQgA,5,78,94,87,95
AOWP-Th_u8C3qLfOlaC0ng,5,94,85,82,95
0HgLKI1T9WT3hJXskDtUrQ,5,75,85,91,92
riM-pBsdqRRVXtAVbLfsxQ,5,83,91,86,79
yet0Pww_ouW49T7V41ecSw,2,42,53,51,74
xAVj_vQj9eTHorWMxY4CPQ,5,93,85,95,93
M8Fp8K23OeMS4dr35vbfjw,5,82,87,93,83
Z890syqhhoShqFnIyIu9EA,4,95,85,87,91
Athxc1MbotCHRpKOPNnBuw,3,73,93,29,56
MEJsTLArqRJgHob7lhgSzw,2,49,17,40,40
vhIJ91MDgUuk4Cr9Kpj1Nw,1,45,39,34,53
1UweGrt6mgiTCfsmLMiUxg,5,83,88,87,79
y4HQ7UaBJaa7LwgDqfFWgA,4,77,88,89,81
hAioxEk3WU-SzlqIM4TI7w,3,19,55,33,40
pdF7iJgA4ViACgA4t1OymQ,1,45,29,51,23
ZUz_qc4z8bTOGUoa644eQQ,3,50,59,35,71
SWhHaWFuijy_KDs0zVCJog,4,93,88,89,83
SOwXfqwUr6NWmbBS0tx_GA,5,91,88,93,81
nR6190BfeXH5qmk3f4jwCA,5,76,89,92,94
5EIJCSrXLHvM2HEoKCejpw,3,64,58,28,60
nBJvxIwO1wU2DVqyQMczng,5,75,86,95,83
fckUjXz1GKpafT4x7-MVJA,1,42,15,16,23
dEV7S-n0HNipS5XUFAaK8w,5,95,94,90,94
MAUTYES01tZGlZzAOCSnng,4,90,93,82,77
DKusRJUxgsye1cdrlGgQOg,5,91,92,93,81
JR2ma-JU1CO_xVD_p5-RPw,3,21,18,33,69
prh-RlduJU3z3ynA5lU3Wg,4,85,93,91,79
VfX7rhtX03yNg56ISz8gVQ,2,17,29,23,40
-KsER702IEQF7QOXANuAIg,5,83,95,94,85
sahppzQJ0HtvMC7L8ILTVg,4,75,90,89,90
Bjn-GQg6hoUOkew7tTPcLA,5,83,87,90,88
u6_qfV--qVopLy3jhbirjg,5,91,89,90,79
BTENr68s2xysZtOAcf6qTg,5,76,86,80,78
VJz2DcvX47i-wqlQ0mQEzQ,3,31,27,45,37
X1twjafYxMCpKt2MqvY5Tw,1,36,42,27,48
b1s8c1CTlHmLIlNGI9q-mQ,5,90,87,85,90
p4KtWurOF5MgWipav08Jpg,5,92,87,80,90
SzHP4_x-ECuBDVK6npb-Ow,3,23,33,54,51
vuHzLZ7nAeT-EiecOkS5Og,1,48,28,36,48
_DMrezN4Aq4T_7VmUjdnpg,5,89,85,85,90
FtLibezRe7HsT13BLpR-Dg,4,75,95,92,91
aqMfCbFNeWn1a4Evds83fg,5,75,89,89,86
rbreGWFCGNnBCEakGY4F0Q,3,67,73,57,67
fC6Zkye_Yd_rf7CJZ1C2VQ,5,92,92,90,80
ZsThT0P2-_qYemYwPJ6qbA,5,80,87,86,90
ti7UmThnMV34Juvib64FhA,5,77,85,80,83
zB4TOI3Ci9BOidw55TREbA,4,94,92,91,91
n43SvzsYHO_4UTC_QwrZKA,4,89,93,87,90
zI4zrcOIePiEAQTBB2dCHA,5,85,95,91,77
p-9tfaYQrfz0FlvsOVDVUA,4,87,87,95,81
ormVt7XAMLy3DP1tGcxUEQ,1,36,15,54,32
WfXBS8eJP4GGXVTCIIbnkQ,1,45,15,36,34
gr-10WzRS0GsZ36N9_PTPA,1,36,35,41,18
u2Z7wvTpZJzQEhfFBS-06g,1,37,52,28,54
RetPg5rBPO6YoyaCdI51Hg,5,89,87,81,77
lpD3xIYuVaQA8xRSlKwn-Q,3,80,61,75,34
MRKRcM5ogwRuFguPPKOKfQ,5,87,95,84,85
LsmAjC6kThIx_GZtID_FRQ,5,86,86,95,86
0pMsVlUu_MbFqmvbA8F79Q,3,36,42,67,59
ByZcAtm7-QuSCplgXK9PtQ,2,44,44,35,34
7dtcBJH9qxtxx1PWnzT10A,5,82,94,90,93
wa8QgXQu1ZxwPgdRl9lYlg,5,88,90,92,88
IrXlXhmSHlIllxZSAARjLA,2,21,69,58,39
3IVCHZaMILY5LZMi-tpCJw,5,92,94,85,82
HjXI6lKGPVNQ8dYJPtaOCg,2,51,15,66,73
j-SSlq3__BQr3H7lAyVvkw,5,91,93,81,91
gtAMKvGxEbdFgp0ZNBlDbQ,5,80,89,83,90
u57NiwOgUMb6CFg-meca-w,1,15,28,20,24
eKcdE5WHnXBd6Rws-vicZQ,3,95,45,30,86
lI06p86a8stKoXSUPfjtsA,5,90,93,85,93
Cl5PHhHfOzimUTCWjC5yNA,1,40,17,34,39
QuybD_bJcAB2CHcpTfREYg,5,95,95,91,80
HwjhWHbNp56t-dRiv3-wPA,5,76,89,80,78
LBAkHJJfCoDj9aa5sc0Mxw,4,85,88,88,77
WN5ON423ZCOy3_4F6XYikA,4,80,86,89,77
DVhSFWIJKk4Vo8fjy_JfcQ,5,90,92,90,77
7QSFLU0AGAUqwnQWg3qHqQ,5,77,91,94,88
lamNK6ivdxNxlCnLu_uqBw,5,86,93,83,79
IDXSRYKyfVGNGzmlFwLNEQ,5,80,91,95,88
8PBq-MHyLDrhkaTf72Foww,4,77,92,88,84
HeoiKMh2aPzWRq5ZQtSb3g,3,74,53,30,56
-tcJmqzfaeEnpFMAelB7bA,4,87,93,80,84
BbGs3XK0x9NEImer3LQD3w,5,86,89,90,81
JwWeolTHTWRDdbT0Zb6WLw,5,83,94,88,94
CaF9FC8GEBfDDbptPgkgBw,1,49,22,18,19
P69sEJwyoUqjBXiqjkKwDA,5,91,94,84,84
dnB7SD38_lwiC9E-BJxq-Q,5,82,89,81,90
9D7h2xfVJrGkkwXDsnfV_Q,1,27,51,40,54
eHvgW9qj-CsPjWmpckJeiw,5,80,91,89,89
-s_U95xEEmJu5GK-srqpUA,1,54,45,33,52
9tayZB1GjSTttFNKo_PMjQ,1,48,31,27,24
2GmGT-7QjowR1ihup3FbVA,4,94,85,83,89
ypJMOo1eNGreGMfP6FUcFA,5,81,88,86,89
qX116WMOppAblGKxoQwlYA,4,79,86,82,80
v8QuF4YX9Bb-qEtKLVPrmA,4,88,87,90,93
QbtJvTQfTFbPqBhjkI59BA,5,94,92,86,81
U8rHQ_Sg8A2m291Y7WEfIg,1,29,47,27,41
9mIm1ef-NVDQHFE39Faxxg,3,67,83,83,32
CX9f_vR0DFEGOpEwFt-jKw,2,36,41,59,57
HOmUXgWOl37CaLqmrsPwuw,3,15,68,25,46
QMaaLfedGzNhHz6PZKAUkw,3,81,60,22,25
-4g68Hwm892_KPUuW5g1_Q,5,86,86,93,87
q6igRYs2UTO-4nTwlttrAQ,5,93,92,94,87
_KjKBz_ouqfheB1Buw7yYg,5,80,94,83,90
SYKIUCvN9JdSkVampgccfA,4,90,93,95,78
Cwv0Mv70w8fNMd-ApwSnUQ,1,34,23,16,41
_cA8tCqZgTDQe9EPNmzp4w,5,87,90,81,89
3jllr8N45pz05Ygaw5ojrg,4,90,93,91,95
g9oCVqOhR4vg7yvtDaEIkA,3,56,24,42,17
utoTa3Ngv_oSfB5TIMgN_Q,3,85,95,52,88
GdPWJo3z4ySEXpF7Wkn3FA,2,69,33,54,23
Zt4ljpwfmBufatNM1zPNcQ,5,77,93,94,84
Sg9R6OwNBq5Zf-kjiVBxuw,1,41,16,41,46
ZdGWAv90dY81kpKzMLMvvA,4,92,88,80,82
DEBqmgxv2yhJ93LqGpKltg,4,88,89,90,79
WN3Y6tP5MT1ugE0dzCHQ8g,2,47,46,48,34
WfKMxqFMDmCj1fhtxDd7rA,5,94,95,81,87
ZrFqa9sUaF_X8wbNz29Qbw,4,84,95,91,84
36cByhAPNsbUIuJ59oUVGA,5,91,87,85,88
J2WGpC43MJDKxPRAcWx-tA,1,19,53,36,46
9kjk05G50XWnmJQBz_wcnw,3,20,16,54,67
Mul_BVwcnhqmp2h_7QFepQ,4,88,87,90,85
NdRJzLnVLV4ia09F2rWK4A,5,87,92,95,82
tgub8uhOq8qjVrkI5IabkQ,1,25,19,44,20
rBTlmcEEQka-7cdU6ByrYg,1,43,17,25,38
DFy8RPRTheb01pQYfeQ1NA,4,90,89,84,84
ad0LjmuXhUGBxTSkve5LZA,5,85,86,87,84
V1hH7vAq5wNDo2P3z8zJLg,5,84,93,90,86
h301hAHfIGqVYIlBzs5EgA,3,76,64,41,94
Ln_wIiEtyFCXogad7VTLfw,4,79,91,84,79
zS3-CKZVVvUYvasJnAg-aA,3,76,60,30,67
iPyhXWQ2LVSgBlQA4vqKJw,2,74,34,51,58
h-Oq86DZfZad9kKXe8m7Lg,5,86,92,87,93
SIVi2UQp1UT0lMIoqHP0QA,1,55,16,26,22
1_v_fooGLY3FQkO5tH3m-A,3,73,34,73,25
5euk5_UKqnAWcrbOPNYt0g,5,84,93,85,79
fTQra2F9uRDzgDWTaVe1yg,4,85,95,80,81
ILZfAtetYvpp0r0Xs8SoHQ,1,48,22,17,23
JC6zXzCqnF2s42-Hiq0TRA,5,79,88,85,88
stPpU3S-OCLZOoxOwgJb4A,3,45,59,36,44
Hcyj_YtGz1zaxzQbBuu6mA,4,85,85,85,84
py474pAs_QPjv2766jLBLw,4,79,95,84,89
R1JAHtDMfprLAySXIIAURA,4,93,85,94,94
PhMfnMldVKXo7HqHw6DSrg,5,82,91,89,87
-8QlV3b_9H4BAh6LgMIr1g,5,85,92,93,92
LRnzpnNQWwpN3Bu24W53CA,5,86,86,87,90
QZJpXx1TbOXqzLx6u6xmaQ,2,29,53,36,68
Pj9DDbTmjBEKXezLb0qmTw,4,90,92,87,78
nChi_8Gygb6NUMa_kg_tlQ,5,93,86,85,92
EveFgxNoHkrs8ncSjkoINA,5,90,91,94,93
EuPaczO6rMpDMrn-GtE_eA,5,76,92,87,82
FwZi-ipVOLgq9tJkb3W5Yw,5,75,94,90,81
wiqTY54WlQVn6LqZASrUUw,1,29,22,27,16
UZ34XAw1GJ3chCOuKL69Mg,5,75,94,81,88
jBibtpiC9BlXulZdGevK_g,5,87,91,80,79
Xv3d5FLutLgrlNfcQ7gR-A,5,79,85,84,78
IodEvSRPqtsrGcDIcCADAw,1,35,17,29,44
hdgYnadxg0GANhWOJabr2g,1,34,20,26,55
c58gaNROUk3ltUQrpl6OJw,5,88,94,83,77
EUg6vHQRLHRw39bmompHcw,4,76,93,94,87
GBuB1uV9NRrtaLxZoVhi7w,5,76,94,83,86
aghhw3q1j3XI7QB892NqbA,5,82,91,85,91
3a9k2JOlNyOE3GKwwZwfng,5,77,86,91,91
OicSihRji2HmUlv7_4YEBg,5,83,88,94,85
POO5_d0RwzjJVhIpN-oulg,5,77,88,86,78
Yz7rfHjytl6Yn4_PiK2HsQ,5,94,87,89,95
x2NuIlQgvvl3Wtq8ipZC6Q,5,80,88,91,85
LJZrIlsx3DTP_y5vp0tKVg,5,75,87,82,83
mRbwm1Hkg6LjkcX_P3WWZA,5,90,89,83,77
xn01T3wnHhpy7MF1kEFA6w,5,90,85,88,79
EfymQLarLpPhm2WX7uoVPg,5,85,93,83,88
jArpBM9wonbYrpiQ4Eac1g,1,23,20,23,37
h1MxTLZ1b2FkU6ituL1yHA,4,95,93,86,90
SvNzj0dE6UMFfp55bIze_A,4,77,91,82,85
JRZS6COIpVkuXLf0VayFWA,5,89,90,82,91
ZtxMIWkILccFuGfx28Hx3w,5,83,93,86,83
VTLKqzjBLf9l7nGJJ0xewg,1,46,27,20,18
xpd4W43hUtoBYc6dzo-xBQ,5,76,87,80,92
sNBaDJM4Khm1BbrBRyrMVQ,5,80,86,93,78
6C_8Mh4lmLc_QEs3hHleBg,5,86,85,86,78
_YfwjvhsqDPLow4775ZFEg,2,71,50,19,37
CXZTRts90FaJX3D81DQrzA,4,89,94,92,85
oLod-GlOLEH4KAvyddKuQQ,3,92,15,22,19
